# Use of Kanji 051-060;;
* Kanji;Kana;Translation;?Example

間;あいだ;between;マックとスタバの間にケンタッキーがあります。
時間;じかん;time;今日は時間がありません。
二時間;にじかん;two hours;時々二時間ぐらいテニスをします。

五分;ごふん;five minutes;すみません。五分まってください。
十分;じゅっぷん;ten minutes;うちから学校まで十分です。

八時半;はちじはん;half past eight;八時半に学校に行きます。
半分;はんぶん;half;このパンは大きいですから、半分たべてください。

毎日;まいにち;every day;毎日三十分ジョギングします。
毎月;まいつき;every month;毎月二十五日にパーティーをします。

年;とし;year / age;その年はとてもあつかったです。/ （お）年はいくつですか。
今年;ことし;this year;今年のクリスマスにハワイに行きます。
毎年;まいとし/まいねん;every year;毎年、父と母が日本に来ます。
2003年;2003 ねん;(the year of) 2003;2003 年に日本に来ました。
来年;らいねん;next year;来年の六月にアメリカに行きます。
三年(間);さんねん（かん）;three years;三年（間）日本にいます。

前;まえ;before / in front of;今、九時五分前です。/ 学校の前にスタバがあります。
三年前;さんねんまえ;three years ago;三年前に日本に来ました。

後ろ;うしろ;behind;テレビの後ろにスピーカーがあります。
後で;あとで;later;また後でメールします。
一年後;いちねんご;one year after;一年後にフランスに行きます。

午前;ごぜん;morning, a.m.;ミーティングは午前九時からです。
午後;ごご;afternoon, p.m.;土よう日の午後は休みです。

名前;なまえ;name;こちらにお名前をおねがいします。
有名;ゆうめい;famous;あの人はとても有(ゆう)名な先生です。

車;くるま;car;父の車で来ました。
電車;でんしゃ;train;毎日電車で大学に行きます。
