# JLPT N5 Adverbs;;
* Japanese;Verb;Meaning
ちょっと;chotto;a little
丁度【ちょうど】;choudo;exactly
大丈夫【だいじょうぶ】;daijoubu;OK, okay, alright, problem free
だんだん;dandan;gradually
どう;dou;how, in what way, how about
どうも;doumo;thank you, thanks
どうして;doushite;why, for what reason, how
どうぞ;douzo;please
初めて【はじめて】;hajimete;for the first time
一人【ひとり】;hitori;one person, alone, single
一番【いちばん】;ichiban;number one, first, 1st, first place, best, most
いかが;ikaga;how, in what way, how about
いくら;ikura;how much?, how many?
いくつ;ikutsu;how many?,how old?
色々 【いろいろ】;iroiro;various
一緒に【いっしょに】;issho ni;together
いつも;itsumo;always, usually, habitually
結構【けっこう】;kekkou;splendid, enough
まだ;mada;still, not yet
まだ～ていません;mada ~te imasen;have not yet ~
前に【まえに】;mae ni;before, in front of ~
真っ直ぐ【まっすぐ】;massugu;straight ahead,direct
みんな;minna;all, everyone, everybody
もっと;motto;more, longer, further
もう;mou;already, anymore, again, other
何故【なぜ】;naze;why, how
同じ【おなじ】;onaji;same
直ぐに【すぐに 】;sugu ni;immediately, right away, instantly
少し【すこし】;sukoshi;a little (bit), small quantity, few, short distance
多分【たぶん】;tabun;perhaps, probably
大変 【たいへん】;taihen;very, greatly, terribly, serious, difficult
時々【ときどき】;tokidoki;sometimes, at times
とても;totemo;very, awfully, exceedingly
よく;yoku;often, well
ゆっくり;yukkuri;slowly
