# JLPT N5 い-Adjectives List;;
* い形容詞;い-adjective;Meaning
危ない;abunaiあぶない;dangerous
赤い;akaiあかい;red, crimson, scarlet
明るい;akaruiあかるい;bright, light
甘い;amaiあまい;sweet, sweet-tasting, sugary, naive, indulgent
青い;aoiあおい;blue, azure
新しい;atarashiiあたらしい;new, novel, fresh, recent, latest
暖かい;atatakaiあたたかい;warm
厚い;atsuiあつい;thick
暑い;atsuiあつい;hot, sultry
熱い;atsuiあつい;hot
小さい;chiisaiちいさい;small, little, tiny
近い;chikaiちかい;near, close
古い;furuiふるい;old (not used for people)
太い;futoiふとい;fat, thick
早い;hayaiはやい;fast, early
速い;hayaiはやい;fast, quick, hasty, brisk
低い;hikuiひくい;short,low
広い;hiroiひろい;spacious, vast, wide
欲しい;hoshiiほしい;want
細い;hosoiほそい;thin, slender
忙しい;isogashiiいそがしい;busy
痛い;itaiいたい;painful, sore
辛い;karaiからい;spicy
軽い;karuiかるい;light
可愛い;kawaiiかわいい;cute
黄色い;kiiroiきいろい;yellow
汚い;kitanaiきたない;dirty
暗い;kuraiくらい;dark, gloomy, murky
黒い;kuroiくろい;black
丸い;maruiまるい;round,circular
不味い;mazuiまずい;unpleasant
短い;mijikaiみじかい;short
難しい;muzukashiiむずかしい;difficult
長い;nagaiながい;long (distance), long (time), lengthy.
温い;nuruiぬるい;luke warm
美味しい;oishiiおいしい;delicious
重い;omoiおもい;heavy
面白い;omoshiroiおもしろい;interesting
多い;ooiおおい;many, numerous, a lot, large quantity, frequent
大きい;ookiiおおきい;big, large, great, important
遅い;osoiおそい;slow, time-consuming, late
寒い;samuiさむい;cold
狭い;semaiせまい;narrow
白い;shiroiしろい;white
少ない;sukunaiすくない;few, a little, scarce, insufficient, seldom
涼しい;suzushiiすずしい;refreshing, cool
高い;takaiたかい;high, tall, expensive, above average
楽しい;tanoshiiたのしい;enjoyable, fun
遠い;tooiとおい;far
詰まらない;tsumaranaiつまらない;boring
冷たい;tsumetaiつめたい;cold to the touch
強い;tsuyoiつよい;powerful
煩い;urusaiうるさい;noisy, annoying
薄い;usuiうすい;thin, weak
若い;wakaiわかい;young
悪い;waruiわるい;bad, poor, undesirable
易しい;yasashiiやさしい;easy, simple
安い;yasuiやすい;cheap, inexpensive
良い;yoi/iiよい/いい;good
弱い;yowaiよわい;weak
