# JLPT N5 Kanji;;;;;
* Kanji;Onyomi;?Onjomi Romanji;Kunyomi;?Kunyomi Romanji;Meaning;?Description
日;ニチ, ジツ;nichi, jitsu;ひ, -び, -か;hi, -bi, -ka;day, sun, Japan, counter for days
一;イチ;ichi;ひと(つ);hito(tsu);one
国;コク;koku;くに;kuni;country
人;ジン、 ニン;jin, nin;ひと;hito;person
年;ネン;nen;とし;toshi;year, counter for years
大;ダイ、 タイ;dai, tai;おお(きい);oo(kii);large, big
十;ジュウ;juu;とお、 と;tou, to;ten, 10
二;ニ、 ジ;ni, ji;ふた(つ);futa(tsu);two, 2
本;ホン;hon;もと;moto;book, present, true, counter for long cylindrical things
中;チュウ;chuu;なか、 うち、 あた(る);naka, uchi, ata(ru);in, inside, middle, mean, center
長;チョウ;chou;なが(い)、 おさ;naga(i), osa;long, leader, superior, senior
出;シュツ、 スイ;shutsu, sui;で(る)、 だ(す)、 い(でる);de(ru), da(su), i(deru);exit, leave, go out
三;サン;san;み(つ);mi(tsu);three, 3
時;ジ;ji;とき、 -どき;toki, doki;time, hour
行;コウ、 ギョウ、 アン;kou, gyou, an;い(く)、 ゆ(く)、 おこな(う);i(ku), yu(ku), okona(u);going, journey, carry out, line, row
見;ケン;ken;み(る)、 み(せる);mi(ru), mi(seru);see, hopes, chances, idea, opinion, look at, visible
月;ゲツ、 ガツ;getsu, gatsu;つき;tsuki;month, moon
分;ブン、 フン、 ブ;bun, fun, bu;わ(ける);wa(keru);part, minute of time, understand
後;ゴ、 コウ;go, kou;のち、 うし(ろ)、 あと;nochi, ushi(ro), ato;behind, back, later
前;ゼン;zen;まえ;mae;in front, before
生;セイ、 ショウ;sei, shou;い(きる)、 う(む)、 お(う)、 は(える)、 なま;i(kiru), u(mu), o(u), ha(eru), nama;life, genuine, birth
五;ゴ;go;いつ(つ);itsu(tsu);five, 5
間;カン、 ケン;kan, ken;あいだ、 ま、 あい;aida, ma, ai;interval, space
上;ジョウ、 ショウ、 シャン;jou, shou, shan;うえ、 うわ-、 かみ、 あ(げる)、 のぼ(る)、 たてまつ(る);ue, uwa, kami, a(geru), nobo(ru), tatematsu(ru);above, up
東;トウ;tou;ひがし;higashi;east
四;シ;shi;よ(つ)、 よん;yo(tsu), yon;four, 4
今;コン、 キン;kon, kin;いま;ima;now, the present
金;キン、 コン、 ゴン;kin, kon, gon;かね、 かな-、 -がね;kane, kana, gane;gold
九;キュウ、 ク;kyuu, ku;ここの(つ);kokono(tsu);nine, 9
入;ニュウ;nyuu;い(る)、はい(る);i(ru), hai(ru);enter, insert
学;ガク;gaku;まな(ぶ);mana(bu);study, learning, science
高;コウ;kou;たか(い);taka(i);tall, high, expensive
円;エン;en;まる(い);maru(i);circle, yen, round
子;シ、 ス、 ツ;shi, su, tsu;こ、 ね;ko, ne;child
外;ガイ、 ゲ;gai, ge;そと、 ほか、 はず(す)、 と-;soto, hoka, hazu-, to-;outside
八;ハチ;hachi;や(つ)、 よう;ya(tsu), you;eight, 8
六;ロク;roku;む(つ)、 むい;mu(tsu), mui;six, 6
下;カ、 ゲ;ka, ge;した、 しも、 もと、 さ(げる)、 くだ(る)、 お(ろす);shita, shimo, moto, sa(geru), kuda(ru), o(rosu);below, down, descend, give, low, inferior
来;ライ、 タイ;rai, tai;く.る、 きた.る、 き、 こ;kuru, kitaru, ki, ko;come, due, next, cause, become
気;キ、 ケ;ki, ke;いき;iki;spirit, mind, air, atmosphere, mood
小;ショウ;shou;ちい(さい)、 こ-、 お-、 さ-;chii(sai), ko-, o-, sa-;little, small
七;シチ;shichi;なな(つ)、 なの;nana(tsu), nano;seven, 7
山;サン、 セン;san, sen;やま;yama;mountain
話;ワ;wa;はな(す)、 はなし;hana(su), hanashi;tale, talk
女;ジョ;jo;おんな、 め;onnna, me;woman, female
北;ホク;hoku;きた;kita;north
午;ゴ;go;うま;uma;noon, sign of the horse
百;ヒャク、 ビャク;hyaku, byaku;もも;momo;hundred
書;ショ;sho;か(く);kaku;write
先;セン;sen;さき、 ま(ず);saki, ma(zu);before, ahead, previous, future, precedence
名;メイ、 ミョウ;mei, myou;な;na;name, noted, distinguished, reputation
川;セン;sen;かわ;kawa;river, stream
千;セン;sen;ち;chi;thousand
水;スイ;sui;みず;mizu;water
半;ハン;han;なか(ば);naka(ba);half, middle, odd number, semi-
男;ダン、 ナン;dan, nan;おとこ、 お;otoko, o;male, man
西;セイ、 サイ;sei, sai;にし;nishi;west
電;デン;den;;;electricity, electric powered
校;コウ;kou;;;school, exam
