# LPT N5 Katakana Words;;
* Japanese;Romaji;Grammar Meaning
アパート;apaato;apartment
バス;basu;bus
バター;bataa;butter
ベッド;beddo;bed
ボールペン;boorupen;ball-point pen
ボタン;botan;button
デパート;depaato;department store
ドア;doa;door
エレベーター;erebeetaa;elevator
フィルム;firumu;film
フォーク;fooku;fork
ギター;gitaa;guitar
グラム;guramu;gram
ハンカチ;hankachi;handkerchief
ホテル;hoteru;hotel
カメラ;kamera;camera
カップ;kappu;cup
カレー;karee;curry
カレンダー;karendaa;calendar
キログラム;kiro guramu;kilogram
キロメートル;kiro meetoru;kilometer
コーヒー;koohii;Coffee
コート;kooto;coat
コピー;kopii;copy, photocopy
コップ;koppu;glass (drinking vessel), tumbler
クラス;kurasu;class
マッチ;macchi;match
メートル;meetoru;metre, meter
ナイフ;naifu;knife
ネクタイ;nekutai;tie, necktie
ノート;nooto;notebook
ニュース;nyuusu;news
パーティー;paatii;party
パン;pan;bread
ページ;peeji;page
ペン;pen;pen
ペット;petto;pet
ポケット;poketto;pocket
ポスト;posuto;post
プール;puuru;swimming pool
ラジオ;rajiio;radio
レコード;rekoodo;record
レストラン;resutoran;restaurant
セーター;seetaa;sweater, jumper
シャツ;shatsu;shirt
シャワー;shawaa;shower
スカート;sukaato;skirt
スポーツ;supootsu;sport, sports
スプーン;supuun;spoon
スリッパ;surippa;slipper, slippers
ストーブ;sutoobu;heater, stove
タクシー;takushii;taxi
テーブル;teeburu;table
テープ;teepu;tape
テープレコーダー;teepu rekoodaa;tape recorder
テレビ;terebi;television, TV
テスト;tesuto;examination, quiz, test
トイレ;toire;toilet
ワイシャツ;wai shatsu;shirt
ゼロ;zero;zero
ズボン;zubon;trousers, pants
