# JLPT N5 な-Adjectives;;
* な形容詞;な-adjective;Meaning
便利;benriべんり;convenient, handy, useful
大丈夫;daijoubuだいじょうぶ;OK, okay, alright, problem free
大好き;daisukiだいすき;love, like, like very much
元気;genkiげんき;lively, full of spirit, energetic, healthy
下手;hetaへた;unskillful, poor, awkward
暇;himaひま;free time
本当;hontouほんとう;truth, reality, actuality, fact
色々;iroiroいろいろ;various
嫌;iyaいや;unpleasant
丈夫;joubuじょうぶ;strong, durable
上手;jouzuじょうず;skillful, skilled, proficient, good (at)
結構;kekkouけっこう;splendid, enough
嫌い;kiraiきらい;hate
綺麗;kireiきれい;pretty, lovely, beautiful
真っ直ぐ;massuguまっすぐ;straight ahead,direct
賑やか;nigiyakaにぎやか;bustling,busy
立派;rippaりっぱ;splendid
静か;shizukaしずか;quiet
好き;sukiすき;like
多分;tabunたぶん;perhaps, probably
大変;taihenたいへん;very, greatly, terribly, serious, difficult
大切;taisetsuたいせつ;important, necessary, indispensable, beloved
沢山;takusanたくさん;many
有名;yuumeiゆうめい;famous
