# JLPT N5 Nouns;;
* 文法;Noun;Meaning
赤;akaあか;red, crimson, scarlet
秋;akiあき;autumn, fall
飴;ameあめ;candy
雨;ameあめ;rain
姉;aneあね;older sister, elder sister
兄;aniあに;elder brother, older brother
青;aoあお;blue, azure
アパート;apaato;apartment
朝;asaあさ;morning
朝ご飯;asagohanあさごはん;breakfast
明後日;asatteあさって;day after tomorrow
足;ashiあし;foot, leg, paw, arm
明日;ashitaあした;tomorrow
頭;atamaあたま;head
後;atoあと;behind, after, remainder, left, also
晩ご飯;bangohanばんごはん;dinner, evening meal
番号;bangouばんごう;number
バス;basu;bus
バター;bataa;butter
ベッド;beddo;bed
勉強;benkyouべんきょう;to study
ボールペン;boorupen;ball-point pen
ボタン;botan;button
帽子;boushiぼうし;hat, cap
文章;bunshouぶんしょう;sentence
豚肉;butanikuぶたにく;pork
病院;byouinびょういん;hospital
病気;byoukiびょうき;illness, disease, sickness
茶色;chairoちゃいろ;brown
茶碗;chawanちゃわん;rice bowl, tea cup, teacup
父;chichiちち;father
地下鉄;chikatetsuちかてつ;subway, underground train
地図;chizuちず;map
台所;daidokoroだいどころ;kitchen
大学;daigakuだいがく;university, college
出口;deguchiでぐち;exit, gateway, way out
電気;denkiでんき;electricity
電車;denshaでんしゃ;train, electric train
電話;denwaでんわ;telephone (call / device)l, phone call
デパート;depaato;department store
ドア;doa;door
どなた;donata;who
動物;doubutsuどうぶつ;animal
土曜日;doyoubiどようび;Saturday
絵;eえ;picture
ええ;ee;yes, that is correct, right
映画;eigaえいが;movie, film
映画館;eigakanえいがかん;movie theater, cinema
英語;eigoえいご;English language
駅;ekiえき;station
鉛筆;enpitsuえんぴつ;pencil
エレベーター;erebeetaa;elevator
フィルム;firumu;film
フォーク;fooku;fork
服;fukuふく;clothes
二人;futariふたり;two people, pair, couple
二つ;futatsuふたつ;two, 2
二日;futsukaふつか;the second day of the month / 2 days
封筒;fuutouふうとう;envelope
冬;fuyuふゆ;winter
外国;gaikokuがいこく;foreign country
外国人;gaikokujinがいこくじん;foreigner, foreign citizen, foreign national, alien, non-Japanese
学校;gakkouがっこう;school
学生;gakuseiがくせい;student
玄関;genkanげんかん;entrance
元気;genkiげんき;lively, full of spirit, energetic, healthy
月曜日;getsuyoubiげつようび;Monday
銀行;ginkouぎんこう;bank
ギター;gitaa;guitar
五;goご;five, 5
午後;gogoごご;afternoon, p.m.
ご飯;gohanごはん;cooked rice, meal
午前;gozenごぜん;morning, a.m.
グラム;guramu;gram
牛肉;gyuunikuぎゅうにく;beef
牛乳;gyuunyuuぎゅうにゅう;(cow's) milk
歯;haは;tooth
八;hachiはち;eight: 8
葉書;hagakiはがき;postcard
母;hahaはは;mother
はい;hai;yes, that is correct
灰皿;haizaraはいざら;ashtray
箱;hakoはこ;box, crate
半;hanはん;half, semi-, half-past
花;hanaはな;flower
鼻;hanaはな;nose
話;hanashiはなし;talk, speech, chat, conversation
半分;hanbunはんぶん;half
ハンカチ;hankachi;handkerchief
晴れ;hareはれ;clear weather
春;haruはる;spring, springtime
箸;hashiはし;chopsticks
橋;hashiはし;bridge
二十歳;hatachiはたち;20 years old, twenty years old
二十日;hatsukaはつか;twentieth day of the month / 20 days
辺;henへん;area
下手;hetaへた;unskillful, poor, awkward
部屋;heyaへや;room
左;hidariひだり;left, left hand side
東;higashiひがし;east
飛行機;hikoukiひこうき;airplane, aircraft
暇;himaひま;free time
昼;hiruひる;noon, midday, daytime, lunch
昼ご飯;hirugohanひるごはん;lunch
人;hitoひと;person, human
一人;hitoriひとり;one person, alone, single
一つ;hitotsuひとつ;one thing, only
ほか;hoka;other (place, thing, person), the rest
本;honほん;book, volume, script
本棚;hondanaほんだな;bookshelf, bookcase
本当;hontouほんとう;truth, reality, actuality, fact
ホテル;hoteru;hotel
百;hyakuひゃく;100, hundred
一;ichiいち;one, best, first, foremost, start
一番;ichibanいちばん;number one, first, 1st, first place, best, most
一日;ichinichiいちにち;one day, all day
家;ieいえ;house, residence, family
池;ikeいけ;pond
いくら;ikura;how much?, how many?
今;imaいま;now, the present time, soon
意味;imiいみ;meaning, significance, sense
妹;imoutoいもうと;younger sister
犬;inuいぬ;dog
入口;iriguchiいりぐち;entrance, entry, gate
色;iroいろ;colour, color
色々;iroiroいろいろ;various
医者;ishaいしゃ;(medical) doctor, physician
一緒;isshoいっしょ;together, at the same time, same, identical
椅子;isuいす;chair
五日;itsukaいつか;the fifth day of the month / 5 days
五つ;itsutsuいつつ;five, 5
嫌;iyaいや;unpleasant
字引;jibikiじびき;dictionary
自動車;jidoushaじどうしゃ;automobile, motorcar, motor vehicle, car
時間;jikanじかん;time, hour(s)
辞書;jishoじしょ;dictionary
自転車;jitenshaじてんしゃ;bicycle
