# あ - Hiragana 2;;
* Kana;Romanji;?Pronunciation
きゃ;kya;kʲa
きゅ;kyu;kʲɯ
きょ;kyo;kʲo
しゃ;sha;ɕa
しゅ;shu;ɕɯ
しょ;sho;ɕo
ちゃ;cha;tɕa
ちゅ;chu;tɕɯ
ちょ;cho;tɕo
にゃ;nya;ɲa
にゅ;nyu;ɲɯ
にょ;nyo;ɲo
ひゃ;hya;ça
ひゅ;hyu;çɯ
ひょ;hyo;ço
みゃ;mya;mʲa
みゅ;myu;mʲɯ
みょ;myo;mʲo
りゃ;rya;ɾʲa
りゅ;ryu;ɾʲɯ
りょ;ryo;ɾʲo
が;ga;ɡa
ぎ;gi;ɡi
ぐ;gu;ɡɯ
げ;ge;ɡe
ご;go;ɡo
ぎゃ;gya;ɡʲa
ぎゅ;gyu;ɡʲɯ
ぎょ;gyo;ɡʲo
ざ;za;(d)za
じ;ji;(d)ʑi
ず;zu;(d)zɯ
ぜ;ze;(d)ze
ぞ;zo;(d)zo
じゃ;ja;(d)ʑa
じゅ;ju;(d)ʑɯ
じょ;jo;(d)ʑo
だ;da;da
ぢ;ji;(d)ʑi
づ;zu;(d)zɯ
で;de;de
ど;do;do
ぢゃ;ja;(d)ʑa
ぢゅ;ju;(d)ʑɯ
ぢょ;jo;(d)ʑo
ば;ba;ba
び;bi;bi
ぶ;bu;bɯ
べ;be;be
ぼ;bo;bo
びゃ;bya;bʲa
びゅ;byu;bʲɯ
びょ;byo;bʲo
ぱ;pa;pa
ぴ;pi;pi
ぷ;pu;pɯ
ぺ;pe;pe
ぽ;po;po
ぴゃ;pya;pʲa
ぴゅ;pyu;pʲɯ
ぴょ;pyo;pʲo
