# 00 - All Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

# 01
仕;シ 、ジ;つか・える;служить
代;ダイ、タイ;か・わる、か・える、よ、しろ;Поколение, эпоха, век
低;テイ;ひく・い;Низкий
住;ジュウ;す・む、すま・う、すま・い;Жить, проживать, обитать
体;タイ、テイ;からだ;Тело, форма, внешний вид
作;サク、サ;つく・る;Делать, изготовлять
使;シ;つか・う;Применять, использовать, употреблять
便;ベン、ビン;たよ・り;удобство, возможность, почта
借;シャク;か・りる;одалживать, взять в долг
働;ドウ;はたら・く;Работать

# 02
親;シン;おや、した・しい、した・しむ;родственник, родители, дружеский, близкий
新;シン;あたら・しい、あら・た、にい;новый
古;コ;ふる・い、ふる・す;старый
悪;アク、オ;わる・い;зло, плохой, дурной, злой
黒;コク;くろ、くろ・い;черный
赤;セキ、シャク;あか、あか・い、あか・らむ、あか・らめる;красный
青;セイ、ショウ;あお、あお・い;синий, голубой, зеленый, юный, незрелый
楽;ガク、ラク;たの・しい、たの・しむ;радость, удовольствие, музыка
広;コウ;ひろ・い、ひろ・げる、ひろ・がる、ひろ・める、ひろ・まる;широкий, обширный, просторный
近;キン;ちか・い、ちか・づく;близко, вблизи, вскоре, близкий

# 03
太;タイ、タ;ふと・い、ふと・る;толстый
弱;ジャク;よわ・い、よわ・る、よわ・まる、よわ・める、;слабый
強;キョウ、ゴウ;つよ・い、つよ・まる、つよ・める、し・いる;сильный
軽;ケイ;かる・い;легкий
重;ジュウ、チョウ;おも・い、かさ・なる、かさ・ねる;тяжелый
暗;アン;くら・い;тёмный, мрачный
明;メイ、ミョウ;あ・かり、あか・るい、あき・らか、あ・ける;светлый, яркий
暑;ショ;あつ・い;жаркий (о погоде)
短;タン;みじか・い;короткий
遠;エン、オン;とお・い;далёкий, дальний

# 05
林;リン;はやし;Роща
森;シン;もり;Лес
夏;カ、ゲ;なつ;Лето
秋;シュウ;あき;Осень
冬;トウ;ふゆう;Зима
春;シュン;はる;Весна
朝;チョウ;あさ;Утро
昼;チュウ;ひる;День, полдень
夕;セキ;ゆう;Вечер
夜;ヤ;よる、よ;вечер, ночь

# 06
家;カ、ケ;いえ、や;Семья, дом
族;ゾク;;Семейство, род
屋;オク;や;Крыша, дом, магазин
室;シツ;むろ;Комната, теплица
集;シュウ;あつ（まる）、あつ（める）、つど（う）;собираться, собирать
好;コウ;この（む）、す（く）;нравиться, любить
弟;テイ、ダイ、デ;おとうと;Младший брат
妹;マイ;いもうと;Младшая сестра
姉;シ;あね;Старшая сестра
兄;ケイ、キョウ;あに;Старший брат

# 07
始;シ;はじまる、はじめる;Начать, открыть
急;キュウ;いそ・ぐ;Спешить, торопиться
待;タイ;ま・つ;ждать, ожидать
思;シ;おも・う;Думать, верить, предполагать, воображать
知;チ;し・る;Знать, узнать, понять
