# 00 - All Kanji Vocabulary;;
* Kanji;Kana;Meaning

# 01
仕方;しかた;способ, средство
仕事;しごと;работа, дело, занятие
仕上げる;しあげる;завершить, закончить
時代;じだい;эра, эпоха, период
平安時代;へいあんじだい;эпоха Хэйан (794 - 1185)
世代;せだい;поколение
代理;だいり;представительство, агент
最低;さいてい;минимум
低下;ていか;понижение, падение
低地;ていち;низменность, низина
住所;じゅうしょ;адрес
住民;じゅうみん;население, жители
住宅;じゅうたく;дом, квартира
安住;あんじゅう;спокойная жизнь
身体;しんたい;тело
体育;たいいく;физкультура
作家;さっか;писатель
作品;さくひん;произведение
作り方;つくりかた;способ изготовления
使用;しよう;использование
大使;たいし;посол
天使;てんし;ангел
使い道;つかいみち;применение
便利;べんり;удобство
不便;ふべん;неудобство
便所;べんじょ;туалет
郵便;ゆうびん;почта
借金;しゃっきん;долг
借地;しゃくち;арендованная земля
借り賃;かりちん;арендная плата
働き;はたらき;достижения, заслуги
労働;ろうどう;труд
働き者;はたらきもの;трудолюбивый человек

# 02
親切な;しんせつな;добрый, дружелюбный
親子;おやこ;родители и дети
母親;ははおや;мама, мать
新聞;しんぶん;газета
古新聞;ふるしんぶん;старые газеты
新年;しんねん;Новый Год
新人;しんじん;новичок
古本;ふるほん;старая книга
古文;こぶん;классическая литература, средневековая классика
古語;こご;устаревшее слово
悪化;あっか;ухудшение
最悪;さいあく;наихудший случай, в наихудшем случае
悪人;あくにん;злой, плохой человек
黒白;くろしろ;черно-белый
黒板;こくばん;доска (классная, черная)
赤十字;せきじゅうじ;Красный Крест
赤道;せきどう;Экватор
赤ちゃん;あかちゃん;младенец
青年;せいねん;юношество, молодежь, юноша
青空;あおぞら;голубое небо
青信号;あおしんごう;зеленый светофор
青物;あおもの;зелень, овощи
音楽;おんがく;музыка
文楽;ぶんらく;японский кукольный театр Бунраку
楽天家;らくてんか;оптимист
広告;こうこく;реклама
広大な;こうだいな;обширный, огромный
広場;ひろば;площадь, сквер
近所;きんじょ;окрестности
最近;さいきん;недавно
近代;きんだい;современное время
近道;ちかみち;короткий путь, короткая дорога

# 03
太平洋;たいへいよう;Тихий Океан
皇太子;こうたいし;наследный принц
太古;たいこ;глубокая древность
強弱;きょうじゃく;сила и слабость
弱点;じゃくてん;слабое / больное место
弱気;よわき;малодушие
強力;きょうりょく;сила, мощь
強国;きょうこく;сильное государство
強情;ごうじょう;упрямство, упорство
軽食;けいしょく;легкая пища / блюдо
気軽;きがる;жизнерадостный, веселый
手軽;てがる;легкий, простой
体重;たいじゅう;вес тела
重力;じゅうりょく;гравитация
暗黒;あんこく;тьма, темнота, мрак
暗室;あんしつ;темная комната
暗号;あんごう;шифр, код, пароль
明くる日;あくるひ;другой / следующий день
明日;みょうにち、あした;завтра
寒暑;かんしょ;холод и жара
暑気;しょき;жара
