# 22 - Kanji Vocabulary;;
* Kanji;Kana;Meaning

茶色;ちゃいろ;коричневый
茶室;ちゃしつ;комната для чайной церемонии
茶道;さどう、ちゃどう;чайная церемония
和紙;わし;японская бумага
新聞紙;しんぶんし;газета, газетная бумага
手紙;てがみ;письмо
時計;とけい;часы
会計;かいけい;счёт, расчёт
合計;ごうけい;итог, общее число, сумма
貨物;かもつ;груз, товар, багаж
百貨店;ひゃっかてん;универмаг
外貨;がいか;иностранная валюта
回答;かいとう;ответ, разъяснение
口答;こうとう;устный ответ
学習;がくしゅう;учение, учеба
独習;どくしゅう;самостоятельное изучение
習字;しゅうじ;тренировка письма, каллиграфия
説明;せつめい;объяснение
小説;しょうせつ;рассказ, новелла
演説;えんぜつ;речь, выступление
質問;しつもん;вопрос
性質;せいしつ;характер, качество
本質;ほんしつ;суть, сущность
試合;しあい;состязание, турнир
試験;しけん;экзамен
試食;ししょく;проба пищи, блюда
自転車;じてんしゃ;велосипед
回転;かいてん;вращение, поворот
運転;うんてん;вождение
