# School Lession 1;;
* 文法;Noun;?Romanji;Meaning

挨拶;あいさつ;айсацу;Вежливые слова приветствия и прощания
おはようございます;;охаё:годзаимас(у);Доброе утро
こんにちは;;коннитива;Здравствуйте, добрый день
こんばんは;;комбанва;Добрый вечер
お休みなさい;おやすみなさい;о-ясуми насай;Спокойной ночи
さようなら;;саё:нара;До свидания, прощайте
またあした;;мата асита;До завтра
ありがとう;;аригато:;Спасибо (неформально)
ありがとうございます;;аригато:годзаимас(у);Большое спасибо
どうも;;до:мо;Спасибо (неформально)
どうもありがとうございます;;до:моаригато:годзаимас(у);Большое спасибо
どういたしまして;;до:итасимаситэ;Не за что
すみません;;сумимасэн;Извините
失礼します;しつれいします;сицурэй симас(у);Простите, пожалуйста
お疲れ様です;おつかれさまです;о-цукарэ-сама дэс(у);Вы хорошо поработали
おめでとうございます;;омэдэто:годзаимас(у);Поздравляю

日本語;にほんご;нихонго;Японский язык
国語;こくご;кокуго;Родной язык
ローマ字;ローマじ;ро:мадзи;Латиница
平仮名;ひらがな;хирагана;Хирагана

片仮名;カタカナ;катакана;Катакана
漢字仮名交じり文;かんじかな/まじりぶん;кандзикана/мадзирибун;Смешанное письмо (в японском языке)

漢字;かんじ;кандзи;Иероглифы
仮名;かな;кана;Канна (азбуки)
点;てん;тэн;Запятая
丸;まる;мару;Точка
はてなマーク;;хатэна ма:ку;Вопросительный знак
びっくりマーク;;биккури ма:ку;Восклицательный знак

叔母さん;おばさん;о-ба-сан;Тётя
お婆さんは;おばあさん;о-ба:-сан;Бабушка
叔父さん;おじさん;о-дзи-сан;Дядя
お爺さん;おじいさん;о-дзи:-сан;Дедушка
母;はは;хаха;Мама
父;ちち;тити;Папа
息子;むすこ;мусуко;Сын
娘;むすめ;мусумэ;Дочь
兄;あに;ани;Старший брат
弟;おとうと;ото:то;Младший брат
姉;あね;анэ;Старшая сестра
妹;いもうと;имо:то;Младшая сестра
両親;りょうしん;рё:син;Родители
家;うち;ути;Дом

はい;;хай;Да
いいえ;;ииэ;Нет
名前;なまえ;намаэ;Имя
会話;かいわ;кайва;Диалог
私;わたし;ватаси;Я
塩;しお;сио;Соль
お菓子;おかし;окаси;Сладости
鳥;とり;тори;Птица

夢;ゆめ;юмэ;Мечта, сон

初めまして;はじめまして;хадзимэмаситэ;Позвольте представиться
よろしくお願いします;よろしくおねがいします;ёросику онэгай симас;Прошу любить и жаловать
私はミハイルです。;わたしはミハイルです。;ватаси ва Михаиру дэс(у);Я - Михаил
私の名前はミハイルです。;わたしのなまえはミハイルです。;ватаси но намаэ ва Михаиру дэс(у);Моё имя - Михаил

あなたのお名前は何ですか。;あなたのおなまえは(なんですか)。;аната но о-намаэ ва нан дэс(у) ка?;Как Ваше имя? / Как Вас зовут?
