# School Lession 2;;
* 文法;Noun;?Romanji;Meaning

私;わたし;ватаси;я;
私たち;わたしたち;ватаси-тати;мы;
あなた;;аната;вы
あなたたち;;аната-тати;вы (мн.ч.);
彼;かれ;карэ;он;
彼ら;かれら;карэра;они;
彼女;かのじょ;канодзё;она;
彼女たち;かのじょたち;канодзё-тати;они (ж.р., мн.ч.);
あの人;あのひと;ано хито;тот человек, он, она;
あの人たち;あのひとたち;ано хито-тати;те люди, они;

学生;がくせい;гакусэй;студент;
生徒;せいと;сэйто;ученик школы;
先生;せんせい;сэнсэй;учитель;
医者;いしゃ;ися;врач;
エンジニア;;эндзиниа;инженер
技師;ぎし;гиси;инженер;
店員;てんいん;тэнъин;продавец;
プログラマー;;пурогурама:;программист
デザイナー;;дэзайна:;дизайнер;
調理師;ちょうりし;тё:риси;повар;
弁護士;べんごし;бэнгоси;адвокат;
主婦;しゅふ;сюфу;домохозяйка;
画家;がか;гака;художник;
作家;さっか;сакка;писатель;
警察官;けいさつかん;кэйсацукан;полицейский;
看護婦;かんごふ;кангофу;медсестра;

ロシア;;росиа;Россия
日本;にほん;нихон;Япония;
アメリカ;;амэрика;Америка
イギリス;;игирису;Англия;
ドイツ;;дойцу;Германия
フランス;;фурансу;Франция;
イタリア;;итариа;Италия
インド;;индо;Индия;
スペイン;;супэйн;Испания
ウクライナ;;укураина;Украина;
ギリシャ;;гирися;Греция
メキシコ;;мэкусико;Мексика;
モンゴル;;монгору;Монголия
韓国;かんこく;канкоку;Южная Корея;
中国;ちゅうごく;тю:гоку;Китай;

ロシア人;ロシアじん;росиа-дзин;русский, русская;
日本人;にほんじん;нихон-дзин;японец, японка;
アメリカ人;アメリカじん;амэрика-дзин;американец, американка;
イギリス人;イギリスじん;игирису-дзин;англичанин, англичанка;
ドイツ人;ドイツじん;дойцу-дзин;немец, немка;
フランス人;フランスじん;фурансу-дзин;француз, француженка;
イタリア人;イタリアじん;итариа-дзин;итальянец, итальянка;
インド人;インドじん;индо-дзин;индиец, индианка;
スペイン人;スペインじん;супэйн-дзин;испанец, испанка;
ウクライナ人;ウクライナじん;укураина-дзин;украинец, украинка;
ギリシャ人;ギリシャじん;гирися-дзин;грек, гречанка;

メキシコ人;メキシコじん;мэкисико-дзин;мексиканец, мексиканка;
モンゴル人;モンゴルじん;монгору-дзин;монгол, монголка;
韓国人;かんこくじん;канкоку-дзин;кореец, кореянка;
中国人;ちゅうごくじん;тю:гоку-дзин;китаец, китаянка;

仕事;しごと;сигото;работа;
国;くに;куни;страна;
何;なに(なん);нани(нан);что;
友達;ともだち;томодати;друг;
