# School Lession 10;;
* Kanji;Kana;Meaning

教室;きょうしつ;аудитория
部屋;へや;комната
アパート;;квартира
マンション;;многоквартирный дом
机;つくえ;стол
椅子;いす;стул
エアコン;;кондиционер
図書館;としょかん;библиотека
博物館;はくぶつかん;музей
美術館;びじゅつかん;музей искусств, художественный музей
郵便局;ゆうびんきょく;почтовое отделение
病院;びょういん;больница
美容院;びよういん;салон красоты
公園;こうえん;парк
動物園;どうぶつえん;зоопарк
麒麟;キリン;жираф
象;ぞう;слон
猿;さる;обезьяна
会社;かいしゃ;фирма
学校;がっこう;школа
大学;だいがく;университет
試験;しけん;экзамен
テスト;;тест
問題;もんだい;задание
宿題;しゅくだい;домашнее задание
パーティー;;вечеринка
映画;えいが;фильм, кино
映画館;えいがかん;кинотеатр
手紙;てがみ;письмо
授業;じゅぎょう;занятия
食堂;しょくどう;столовая
朝ご飯;あさごはん;завтрак
昼ごはん;ひるごはん;обед
晩ごはん;ばんごはん;ужин
スポーツをする;;заниматься спортом
テニスをする;;играть в теннис
ゲームをする;;играть в игры
蜂蜜;はちみつ;мёд
木;き;дерево
白樺;しらかば;берёза
松;まつ;сосна
ポプラ;;тополь
どこ;;где
どう;;как
いつ;;когда
いくつ;;сколько
いくら;;сколько стоит
コーヒー;;кофе
紅茶;こうちゃ;черный чай
お茶;おちゃ;зеленый чай
日本茶;にほんちゃ;японский (зеленый) чай
天気;てんき;погода
仕事;しごと;работа
赤の広場;あかのひろば;Красная площадь
エッフェル塔;エッフェルとう;Эйфелева башня
パリ;;Париж
マクドナルド;;Макдональдс
スターバックス;;Старбакс
カフェ;;кафе
喫茶店;きっさてん;кафе
