# School Lession 12;;
* Kana;Kanji;Meaning

蟻;あり;муравей
エジプト;;Египет
エジプトのピラミッド;;Египетские пирамиды
砂漠;さばく;пустыня
砂;すな;песок
棘;とげ;шип, колючка
駱駝;らくだ;верблюд
蠍;さそり;скорпион
水族館;すいぞくかん;океанариум
海;うみ;море
サボテン;;кактус
草;くさ;;трава
空港;くうこう;аэропорт
飛行機;ひこうき;самолёт
バス;;автобус
バス乗り場;バスのりば;автобусная остановка
駅;えき;станция
電車;でんしゃ;поезд
新幹線;しんかんせん;синкансэн
地下鉄;ちかてつ;метро
キロ(メートル);;километр
キロ(グラム);;килограмм
返事;へんじ;ответ
結婚;けっこん;свадьба
離婚;りこん;развод
南極;なんきょく;Южный полюс
北極;ほっきょく;Северный полюс
雪;ゆき;снег
雪山;ゆきやま;снежные горы
雪だるま;ゆきだるま;снеговик
氷;こおり;лёд
マンモス;;мамонт
風;かぜ;ветер
デパート;;универмаг
銀行;ぎんこう;банк
わさび;;васаби
お肉;(お)にく;мясо
お魚;(お)さかな;рыба
刺身;さしみ;сасими (сашими)
竹輪;ちくわ;рыбные палочки
ナイフ;;нож
フォーク;;вилка
スプーン;;ложка
トースト;;тост
バター;;масло
ジュース;;сок
オレンジジュース;;апельсиновый сок
紅茶;こうちゃ;чёрный чай
パン;;хлеб
ケーキ;;пирожное
卵;たまご;яйцо
野菜;やさい;овощи
果物;くだもの;фрукты
人参;にんじん;морковь
キャベツ;;капуста
トマト;;помидор
