# 18 - Vocabulary;;
* Kanji;Kana;Meaning

桜;さくら;сакура
ききょう;;колокольчик
コスモス;こすもす;космея
たんぽぽ;;одуванчик
ばら;;роза
ひまわり;;подсолнух
ぼたん;;пион
ゆり;;лилия
あげる;;давать
やる;;давать (младшим, животным, растениям)
さしあげる;;преподносить (формально, по отношению к вышестоящим)
くれる;;дать, давать
くださる;;дать, “пожаловать” (формально, действие от вышестоящих)
もらう;;получить
いただく;;получить, “скромно принять” (формально, от вышестоящих)
餌;えさ;корм для животных
社長;しゃちょう;начальник фирмы, директор
会社員;かいしゃいん;сотрудник фирмы
絵葉書;えはがき;художественная открытка
ポストカード;;почтовая карточка, открытка
誕生日;たんじょうび;день рождения
お茶;おちゃ;зеленый чай
日本茶;にほんちゃ;японский (зеленый) чай
紅茶;こうちゃ;черный чай
牛乳;ぎゅうにゅう;(коровье) молоко
ミルク;;молоко
お酒;おさけ;сакэ, алкогольный напиток
アルコール;;алкоголь
チョコレート;;шоколад, шоколадные конфеты
おもちゃ;;игрушка
教科書;きょうかしょ;учебник
問題;もんだい;проблема, вопрос, задание
タスク;;задание
感謝状;かんしゃじょう;благодарственное письмо
雑誌;ざっし;журнал
カレンダー;;календарь
アルバム;;альбом
辞書;じしょ;словарь
辞典;じてん;словарь
スカーフ;;шарф
政府;せいふ;правительство
お金;おかね;деньги
鳥;とり;птица
（鳥の）鳴き声;（とりの）なきごえ;пение птиц
