# 20 - Kanji Vocabulary;;
* Kanji;Kana;Meaning

午前;ごぜん;время до полудня
午後;ごご;время после полудня
午前中;ごぜんちゅう;в первой половине дня
午後四時;ごごよじ;4 часа дня
百人;ひゃくにん;100 человек
三百;さんびゃく;300
八百円;はっぴゃくえん;800 йен
九百;きゅうひゃく;900
一千;いっせん;1000
二千;にせん;2000
三千;さんぜん;3000
八千;はっせん;8000
千人;せんにん;1000 людей
千円;せんえん;1000 йен
一万円;いちまんえん;10 000 йен
百万;ひゃくまん;1 миллион
一千万円;いっせんまんえん;10 миллионов йен
半分;はんぶん;половина
半年;はんとし;полгода
三時半;さんじはん;3:30
前半;ぜんはん、ぜんぱん;первая половина
大半;たいはん;бОльшая часть
全部;ぜんぶ;всё, целиком, полностью
全国;ぜんこく;вся страна
全体;ぜんたい;целый, общий, весь, в целом, в общем
全身;ぜんしん;всё тело
立冬;りっとう;первый день зимы
真冬;まふゆ;середина зимы
冬空;ふゆぞら;зимнее небо
立春;りっしゅん;первый день весны
青春;せいしゅん;молодость, юность
春分の日;しゅんぶんのひ;день весеннего равноденствия
夏季;かき;летнее время, летний сезон
立夏;りっか;начало лета
真夏;まなつ;середина лета
夏休み;なつやすみ;летние каникулы
秋分の日;しゅうぶんのひ;день осеннего равноденствия
秋気;しゅうき;осенний воздух
秋風;あきかぜ;осенний ветер
