# 20 - Vocabulary;;
* Kanji;Kana;Meaning

きをつける;気を付ける;быть внимательным; быть осторожным; обращать внимание
もつ;持つ;держать, иметь
さわる;触る;трогать, прикасаться
すてる;捨てる;1) выбрасывать, выкидывать
おぼえる;覚える;помнить; запоминать
すむ;住む;жить, проживать; обитать
まつ;待つ;ждать; ожидать
しる;知る;знать
おもう;思う;думать
かんがえる;考える;думать, размышлять
やせる;痩せる;худеть
ふとる;太る;полнеть, толстеть
こむ;込む;быть переполненным [людьми]
けっこんする;結婚する;жениться, выходить замуж
りこんする;離婚する;разводиться
よごれる;汚れる;пачкаться, загрязняться
きれいにする;;чистить, очищать
われる;割れる;ломаться, разбиваться; трескаться
とめる;止める;останавливать, задерживать
うそをつく;噓をつく;лгать
ちこくする;遅刻する;опаздывать
サッカーをする;;играть в футбол
クッキー;;печенье
ケーキ;;пирожное; торт
オムレツ;;омлет
しお;塩;соль
さとう;砂糖;сахар
かねもち;金持ち;богач
ねむい;眠い;сонный
びょうき;病気;болезнь, заболевание
くすり;薬;лекарство
ちゃんと;;как следует; аккуратно; точно
ちょうこう  ;聴講;посещение лекции, занятия
