# Лексика JLPT N3: 400 слов
* Kanji;Kana;Meaning

# 01. Работа и офис;;

仕事;しごと;работа
会社;かいしゃ;компания
会議;かいぎ;совещание
出張;しゅっちょう;командировка
残業;ざんぎょう;переработка
退職;たいしょく;увольнение, уход с работы
就職;しゅうしょく;трудоустройство
給料;きゅうりょう;зарплата
月給;げっきゅう;ежемесячная зарплата
時給;じきゅう;почасовая ставка
社員;しゃいん;сотрудник компании
部長;ぶちょう;начальник отдела
課長;かちょう;менеджер секции
同僚;どうりょう;коллега
上司;じょうし;начальник
部下;ぶか;подчинённый
名刺;めいし;визитка
書類;しょるい;документы
資料;しりょう;материалы, справочный документ
報告;ほうこく;доклад, отчёт
連絡;れんらく;связь, уведомление
相談;そうだん;консультация, совет
打ち合わせ;うちあわせ;рабочая встреча
企画;きかく;проект, план
提案;ていあん;предложение
確認;かくにん;подтверждение, проверка
締め切り;しめきり;дедлайн
期限;きげん;срок
作業;さぎょう;работа, операция
勤務;きんむ;служба, работа на месте
休暇;きゅうか;отпуск
出勤;しゅっきん;выход на работу
欠勤;けっきん;невыход на работу
面接;めんせつ;собеседование
履歴書;りれきしょ;резюме

# 02. Учёба и университет;;

授業;じゅぎょう;урок, занятие
講義;こうぎ;лекция
試験;しけん;экзамен
テスト;てすと;тест
成績;せいせき;оценка, результат
点数;てんすう;количество баллов
合格;ごうかく;сдача, прохождение
不合格;ふごうかく;несдача
教科書;きょうかしょ;учебник
辞書;じしょ;словарь
宿題;しゅくだい;домашнее задание
発表;はっぴょう;доклад, презентация
論文;ろんぶん;научная статья, диссертация
研究;けんきゅう;исследование
専攻;せんこう;специализация
学部;がくぶ;факультет
大学院;だいがくいん;магистратура
学費;がくひ;плата за обучение
奨学金;しょうがくきん;стипендия
留学;りゅうがく;учёба за границей
入学;にゅうがく;поступление
卒業;そつぎょう;выпуск
受験;じゅけん;сдача экзаменов
願書;がんしょ;заявление о поступлении
出願;しゅつがん;подача документов
先輩;せんぱい;старший товарищ
後輩;こうはい;младший товарищ
同級生;どうきゅうせい;одноклассник, одногруппник
教授;きょうじゅ;профессор
講師;こうし;преподаватель
学生証;がくせいしょう;студенческий билет
単位;たんい;академический кредит
レポート;れぽーと;реферат, отчёт
講座;こうざ;курс, цикл лекций
サークル;さーくる;студенческий клуб

# 03. Дом и быт;;

家賃;やちん;арендная плата
敷金;しききん;залог при аренде
礼金;れいきん;ключевые деньги
引っ越し;ひっこし;переезд
賃貸;ちんたい;аренда
一人暮らし;ひとりぐらし;жизнь в одиночку
家族;かぞく;семья
家具;かぐ;мебель
家電;かでん;бытовая техника
洗濯;せんたく;стирка
掃除;そうじ;уборка
料理;りょうり;готовка, кухня
片付け;かたづけ;наведение порядка
ゴミ;ごみ;мусор
分別;ぶんべつ;сортировка (мусора)
台所;だいどころ;кухня
玄関;げんかん;прихожая
廊下;ろうか;коридор
階段;かいだん;лестница
ベランダ;べらんだ;балкон
押し入れ;おしいれ;встроенный шкаф
和室;わしつ;комната в японском стиле
洋室;ようしつ;комната в западном стиле
布団;ふとん;футон
布巾;ふきん;кухонное полотенце
洗剤;せんざい;моющее средство
水道;すいどう;водопровод
電気;でんき;электричество
ガス;がす;газ
光熱費;こうねつひ;коммунальные расходы
住所;じゅうしょ;адрес
近所;きんじょ;соседство, район
大家;おおや;хозяин квартиры
修理;しゅうり;ремонт
故障;こしょう;поломка

# 04. Еда;;

食事;しょくじ;приём пищи
朝食;ちょうしょく;завтрак
昼食;ちゅうしょく;обед
夕食;ゆうしょく;ужин
外食;がいしょく;поход в ресторан
自炊;じすい;самостоятельная готовка
材料;ざいりょう;ингредиенты
調味料;ちょうみりょう;приправа
味;あじ;вкус
匂い;におい;запах
辛い;からい;острый
甘い;あまい;сладкий
苦い;にがい;горький
酸っぱい;すっぱい;кислый
脂っこい;あぶらっこい;жирный, маслянистый
和食;わしょく;японская еда
洋食;ようしょく;западная еда
定食;ていしょく;сет, комбо-обед
丼;どんぶり;донбури, порция в чаше
おかず;おかず;гарнир, закуска к рису
お菓子;おかし;сладости, снеки
飲み物;のみもの;напиток
お茶;おちゃ;чай
お酒;おさけ;сакэ, алкоголь
注文;ちゅうもん;заказ
レシピ;れしぴ;рецепт
食器;しょっき;посуда
箸;はし;палочки
茶碗;ちゃわん;пиала для риса
皿;さら;тарелка
コップ;こっぷ;стакан
作る;つくる;готовить
焼く;やく;жарить, печь
揚げる;あげる;жарить во фритюре

# 05. Здоровье и тело;;

健康;けんこう;здоровье
病気;びょうき;болезнь
風邪;かぜ;простуда
熱;ねつ;температура, жар
頭痛;ずつう;головная боль
腹痛;ふくつう;боль в животе
怪我;けが;травма, ранение
骨折;こっせつ;перелом
入院;にゅういん;госпитализация
退院;たいいん;выписка из больницы
通院;つういん;регулярное посещение врача
診察;しんさつ;осмотр у врача
治療;ちりょう;лечение
手術;しゅじゅつ;операция
注射;ちゅうしゃ;укол
薬;くすり;лекарство
処方箋;しょほうせん;рецепт от врача
医者;いしゃ;врач
看護師;かんごし;медсестра
患者;かんじゃ;пациент
症状;しょうじょう;симптом
アレルギー;あれるぎー;аллергия
頭;あたま;голова
肩;かた;плечо
腰;こし;поясница
胃;い;желудок
肌;はだ;кожа
骨;ほね;кость
筋肉;きんにく;мышцы
ストレス;すとれす;стресс
運動;うんどう;физические упражнения
散歩;さんぽ;прогулка
睡眠;すいみん;сон
食欲;しょくよく;аппетит
疲れ;つかれ;усталость

# 06. Транспорт и путешествия;;

交通;こうつう;транспорт
電車;でんしゃ;электропоезд
地下鉄;ちかてつ;метро
新幹線;しんかんせん;синкансэн
バス;ばす;автобус
タクシー;たくしー;такси
自転車;じてんしゃ;велосипед
飛行機;ひこうき;самолёт
駅;えき;станция
空港;くうこう;аэропорт
港;みなと;порт
切符;きっぷ;билет
乗車券;じょうしゃけん;проездной билет
料金;りょうきん;плата за проезд
運賃;うんちん;транспортный тариф
乗り換え;のりかえ;пересадка
乗り遅れ;のりおくれ;опоздание на транспорт
満員;まんいん;переполнено
座席;ざせき;сиденье
出発;しゅっぱつ;отправление
到着;とうちゃく;прибытие
遅延;ちえん;задержка
運転;うんてん;вождение
免許;めんきょ;права, лицензия
信号;しんごう;светофор
交差点;こうさてん;перекрёсток
一方通行;いっぽうつうこう;одностороннее движение
駐車場;ちゅうしゃじょう;парковка
旅行;りょこう;путешествие
観光;かんこう;осмотр достопримечательностей
予約;よやく;бронирование
宿泊;しゅくはく;ночёвка, проживание
案内;あんない;указание, гид

# 07. Деньги и покупки;;

買い物;かいもの;покупки
値段;ねだん;цена
価格;かかく;цена, стоимость
料金;りょうきん;плата, сбор
税金;ぜいきん;налог
消費税;しょうひぜい;налог с продаж
割引;わりびき;скидка
無料;むりょう;бесплатно
有料;ゆうりょう;платно
現金;げんきん;наличные
クレジットカード;くれじっとかーど;кредитная карта
小銭;こぜに;мелочь
お釣り;おつり;сдача
レシート;れしーと;чек
領収書;りょうしゅうしょ;квитанция
会計;かいけい;счёт, оплата
支払い;しはらい;оплата
振込;ふりこみ;банковский перевод
口座;こうざ;счёт в банке
貯金;ちょきん;сбережения
貯める;ためる;копить
使う;つかう;тратить, использовать
お金持ち;おかねもち;богатый человек
貧乏;びんぼう;бедность
予算;よさん;бюджет
家計;かけい;семейный бюджет
商品;しょうひん;товар
品物;しなもの;товар, изделие
新製品;しんせいひん;новинка
セール;せーる;распродажа
バーゲン;ばーげん;распродажа со скидкой
試着;しちゃく;примерка
返品;へんぴん;возврат товара

# 08. Люди и эмоции;;

性格;せいかく;характер
人気;にんき;популярность
印象;いんしょう;впечатление
態度;たいど;отношение, поведение
気持ち;きもち;чувство, настроение
感情;かんじょう;эмоция
優しい;やさしい;добрый, мягкий
親切;しんせつ;доброжелательный
真面目;まじめ;серьёзный, добросовестный
正直;しょうじき;честный
元気;げんき;бодрый
明るい;あかるい;светлый, весёлый
暗い;くらい;мрачный
おとなしい;おとなしい;тихий, послушный
わがまま;わがまま;эгоистичный
頑固;がんこ;упрямый
素直;すなお;послушный, открытый
勇気;ゆうき;смелость
自信;じしん;уверенность
緊張;きんちょう;напряжение
不安;ふあん;беспокойство
心配;しんぱい;тревога
満足;まんぞく;удовлетворённость
感動;かんどう;глубокое впечатление
驚き;おどろき;удивление
恥ずかしい;はずかしい;стыдно, неловко
怒る;おこる;сердиться
泣く;なく;плакать
笑う;わらう;смеяться
喜ぶ;よろこぶ;радоваться
悲しむ;かなしむ;горевать
尊敬;そんけい;уважение
信頼;しんらい;доверие
友情;ゆうじょう;дружба
恋愛;れんあい;любовь, романтика

# 09. Природа и погода;;

天気;てんき;погода
気温;きおん;температура воздуха
湿度;しつど;влажность
晴れ;はれ;ясная погода
曇り;くもり;облачно
雨;あめ;дождь
雪;ゆき;снег
雷;かみなり;гром
台風;たいふう;тайфун
地震;じしん;землетрясение
津波;つなみ;цунами
洪水;こうずい;наводнение
災害;さいがい;стихийное бедствие
梅雨;つゆ;сезон дождей
季節;きせつ;сезон, время года
春;はる;весна
夏;なつ;лето
秋;あき;осень
冬;ふゆ;зима
自然;しぜん;природа
環境;かんきょう;окружающая среда
動物;どうぶつ;животное
植物;しょくぶつ;растение
森;もり;лес
林;はやし;роща
海;うみ;море
川;かわ;река
湖;みずうみ;озеро
山;やま;гора
空;そら;небо
星;ほし;звезда
月;つき;луна

# 10. Время и расписание;;

時間;じかん;время
時刻;じこく;конкретный момент времени
曜日;ようび;день недели
週末;しゅうまつ;выходные
平日;へいじつ;будни
祝日;しゅくじつ;праздничный день
休日;きゅうじつ;выходной
最近;さいきん;недавно
今後;こんご;впредь, на будущее
以前;いぜん;ранее, прежде
以後;いご;после, впредь
当時;とうじ;в то время
将来;しょうらい;будущее
過去;かこ;прошлое
現在;げんざい;настоящее
未来;みらい;будущее (далёкое)
予定;よてい;план, расписание
計画;けいかく;план, замысел
締切;しめきり;крайний срок
延期;えんき;отсрочка
中止;ちゅうし;отмена
変更;へんこう;изменение
間に合う;まにあう;успевать
遅れる;おくれる;опаздывать
早める;はやめる;ускорять, приближать
急ぐ;いそぐ;спешить
瞬間;しゅんかん;момент, мгновение
一瞬;いっしゅん;мгновение
間隔;かんかく;интервал
頻繁;ひんぱん;часто

# 11. Деловое общение;;

挨拶;あいさつ;приветствие
敬語;けいご;уважительный язык
丁寧;ていねい;вежливый
失礼;しつれい;невежливость, простите
お礼;おれい;благодарность
お詫び;おわび;извинение
謝る;あやまる;извиняться
お辞儀;おじぎ;поклон
約束;やくそく;обещание, договорённость
