# Работа и офис;;
* Kanji;Kana;Meaning

仕事;しごと;работа
会社;かいしゃ;компания
会議;かいぎ;совещание
出張;しゅっちょう;командировка
残業;ざんぎょう;переработка
退職;たいしょく;увольнение, уход с работы
就職;しゅうしょく;трудоустройство
給料;きゅうりょう;зарплата
月給;げっきゅう;ежемесячная зарплата
時給;じきゅう;почасовая ставка
社員;しゃいん;сотрудник компании
部長;ぶちょう;начальник отдела
課長;かちょう;менеджер секции
同僚;どうりょう;коллега
上司;じょうし;начальник
部下;ぶか;подчинённый
名刺;めいし;визитка
書類;しょるい;документы
資料;しりょう;материалы, справочный документ
報告;ほうこく;доклад, отчёт
連絡;れんらく;связь, уведомление
相談;そうだん;консультация, совет
打ち合わせ;うちあわせ;рабочая встреча
企画;きかく;проект, план
提案;ていあん;предложение
確認;かくにん;подтверждение, проверка
締め切り;しめきり;дедлайн
期限;きげん;срок
作業;さぎょう;работа, операция
勤務;きんむ;служба, работа на месте
休暇;きゅうか;отпуск
出勤;しゅっきん;выход на работу
欠勤;けっきん;невыход на работу
面接;めんせつ;собеседование
履歴書;りれきしょ;резюме
