# 02. Учёба и университет;;
* Kanji;Kana;Meaning

授業;じゅぎょう;урок, занятие
講義;こうぎ;лекция
試験;しけん;экзамен
テスト;てすと;тест
成績;せいせき;оценка, результат
点数;てんすう;количество баллов
合格;ごうかく;сдача, прохождение
不合格;ふごうかく;несдача
教科書;きょうかしょ;учебник
辞書;じしょ;словарь
宿題;しゅくだい;домашнее задание
発表;はっぴょう;доклад, презентация
論文;ろんぶん;научная статья, диссертация
研究;けんきゅう;исследование
専攻;せんこう;специализация
学部;がくぶ;факультет
大学院;だいがくいん;магистратура
学費;がくひ;плата за обучение
奨学金;しょうがくきん;стипендия
留学;りゅうがく;учёба за границей
入学;にゅうがく;поступление
卒業;そつぎょう;выпуск
受験;じゅけん;сдача экзаменов
願書;がんしょ;заявление о поступлении
出願;しゅつがん;подача документов
先輩;せんぱい;старший товарищ
後輩;こうはい;младший товарищ
同級生;どうきゅうせい;одноклассник, одногруппник
教授;きょうじゅ;профессор
講師;こうし;преподаватель
学生証;がくせいしょう;студенческий билет
単位;たんい;академический кредит
レポート;れぽーと;реферат, отчёт
講座;こうざ;курс, цикл лекций
サークル;さーくる;студенческий клуб
