# Дом и быт;;
* Kanji;Kana;Meaning

家賃;やちん;арендная плата
敷金;しききん;залог при аренде
礼金;れいきん;ключевые деньги
引っ越し;ひっこし;переезд
賃貸;ちんたい;аренда
一人暮らし;ひとりぐらし;жизнь в одиночку
家族;かぞく;семья
家具;かぐ;мебель
家電;かでん;бытовая техника
洗濯;せんたく;стирка
掃除;そうじ;уборка
料理;りょうり;готовка, кухня
片付け;かたづけ;наведение порядка
ゴミ;ごみ;мусор
分別;ぶんべつ;сортировка (мусора)
台所;だいどころ;кухня
玄関;げんかん;прихожая
廊下;ろうか;коридор
階段;かいだん;лестница
ベランダ;べらんだ;балкон
押し入れ;おしいれ;встроенный шкаф
和室;わしつ;комната в японском стиле
洋室;ようしつ;комната в западном стиле
布団;ふとん;футон
布巾;ふきん;кухонное полотенце
洗剤;せんざい;моющее средство
水道;すいどう;водопровод
電気;でんき;электричество
ガス;がす;газ
光熱費;こうねつひ;коммунальные расходы
住所;じゅうしょ;адрес
近所;きんじょ;соседство, район
大家;おおや;хозяин квартиры
修理;しゅうり;ремонт
故障;こしょう;поломка
