# Еда;;
* Kanji;Kana;Meaning

食事;しょくじ;приём пищи
朝食;ちょうしょく;завтрак
昼食;ちゅうしょく;обед
夕食;ゆうしょく;ужин
外食;がいしょく;поход в ресторан
自炊;じすい;самостоятельная готовка
材料;ざいりょう;ингредиенты
調味料;ちょうみりょう;приправа
味;あじ;вкус
匂い;におい;запах
辛い;からい;острый
甘い;あまい;сладкий
苦い;にがい;горький
酸っぱい;すっぱい;кислый
脂っこい;あぶらっこい;жирный, маслянистый
和食;わしょく;японская еда
洋食;ようしょく;западная еда
定食;ていしょく;сет, комбо-обед
丼;どんぶり;донбури, порция в чаше
おかず;おかず;гарнир, закуска к рису
お菓子;おかし;сладости, снеки
飲み物;のみもの;напиток
お茶;おちゃ;чай
お酒;おさけ;сакэ, алкоголь
注文;ちゅうもん;заказ
レシピ;れしぴ;рецепт
食器;しょっき;посуда
箸;はし;палочки
茶碗;ちゃわん;пиала для риса
皿;さら;тарелка
コップ;こっぷ;стакан
作る;つくる;готовить
焼く;やく;жарить, печь
揚げる;あげる;жарить во фритюре
