# 05. Здоровье и тело;;
* Kanji;Kana;Meaning

健康;けんこう;здоровье
病気;びょうき;болезнь
風邪;かぜ;простуда
熱;ねつ;температура, жар
頭痛;ずつう;головная боль
腹痛;ふくつう;боль в животе
怪我;けが;травма, ранение
骨折;こっせつ;перелом
入院;にゅういん;госпитализация
退院;たいいん;выписка из больницы
通院;つういん;регулярное посещение врача
診察;しんさつ;осмотр у врача
治療;ちりょう;лечение
手術;しゅじゅつ;операция
注射;ちゅうしゃ;укол
薬;くすり;лекарство
処方箋;しょほうせん;рецепт от врача
医者;いしゃ;врач
看護師;かんごし;медсестра
患者;かんじゃ;пациент
症状;しょうじょう;симптом
アレルギー;あれるぎー;аллергия
頭;あたま;голова
肩;かた;плечо
腰;こし;поясница
胃;い;желудок
肌;はだ;кожа
骨;ほね;кость
筋肉;きんにく;мышцы
ストレス;すとれす;стресс
運動;うんどう;физические упражнения
散歩;さんぽ;прогулка
睡眠;すいみん;сон
食欲;しょくよく;аппетит
疲れ;つかれ;усталость
