# Транспорт и путешествия;;
* Kanji;Kana;Meaning

交通;こうつう;транспорт
電車;でんしゃ;электропоезд
地下鉄;ちかてつ;метро
新幹線;しんかんせん;синкансэн
バス;ばす;автобус
タクシー;たくしー;такси
自転車;じてんしゃ;велосипед
飛行機;ひこうき;самолёт
駅;えき;станция
空港;くうこう;аэропорт
港;みなと;порт
切符;きっぷ;билет
乗車券;じょうしゃけん;проездной билет
料金;りょうきん;плата за проезд
運賃;うんちん;транспортный тариф
乗り換え;のりかえ;пересадка
乗り遅れ;のりおくれ;опоздание на транспорт
満員;まんいん;переполнено
座席;ざせき;сиденье
出発;しゅっぱつ;отправление
到着;とうちゃく;прибытие
遅延;ちえん;задержка
運転;うんてん;вождение
免許;めんきょ;права, лицензия
信号;しんごう;светофор
交差点;こうさてん;перекрёсток
一方通行;いっぽうつうこう;одностороннее движение
駐車場;ちゅうしゃじょう;парковка
旅行;りょこう;путешествие
観光;かんこう;осмотр достопримечательностей
予約;よやく;бронирование
宿泊;しゅくはく;ночёвка, проживание
案内;あんない;указание, гид
