# 07. Деньги и покупки;;
* Kanji;Kana;Meaning

買い物;かいもの;покупки
値段;ねだん;цена
価格;かかく;цена, стоимость
料金;りょうきん;плата, сбор
税金;ぜいきん;налог
消費税;しょうひぜい;налог с продаж
割引;わりびき;скидка
無料;むりょう;бесплатно
有料;ゆうりょう;платно
現金;げんきん;наличные
クレジットカード;くれじっとかーど;кредитная карта
小銭;こぜに;мелочь
お釣り;おつり;сдача
レシート;れしーと;чек
領収書;りょうしゅうしょ;квитанция
会計;かいけい;счёт, оплата
支払い;しはらい;оплата
振込;ふりこみ;банковский перевод
口座;こうざ;счёт в банке
貯金;ちょきん;сбережения
貯める;ためる;копить
使う;つかう;тратить, использовать
お金持ち;おかねもち;богатый человек
貧乏;びんぼう;бедность
予算;よさん;бюджет
家計;かけい;семейный бюджет
商品;しょうひん;товар
品物;しなもの;товар, изделие
新製品;しんせいひん;новинка
セール;せーる;распродажа
バーゲン;ばーげん;распродажа со скидкой
試着;しちゃく;примерка
返品;へんぴん;возврат товара
