# 08. Люди и эмоции;;
* Kanji;Kana;Meaning

性格;せいかく;характер
人気;にんき;популярность
印象;いんしょう;впечатление
態度;たいど;отношение, поведение
気持ち;きもち;чувство, настроение
感情;かんじょう;эмоция
優しい;やさしい;добрый, мягкий
親切;しんせつ;доброжелательный
真面目;まじめ;серьёзный, добросовестный
正直;しょうじき;честный
元気;げんき;бодрый
明るい;あかるい;светлый, весёлый
暗い;くらい;мрачный
おとなしい;おとなしい;тихий, послушный
わがまま;わがまま;эгоистичный
頑固;がんこ;упрямый
素直;すなお;послушный, открытый
勇気;ゆうき;смелость
自信;じしん;уверенность
緊張;きんちょう;напряжение
不安;ふあん;беспокойство
心配;しんぱい;тревога
満足;まんぞく;удовлетворённость
感動;かんどう;глубокое впечатление
驚き;おどろき;удивление
恥ずかしい;はずかしい;стыдно, неловко
怒る;おこる;сердиться
泣く;なく;плакать
笑う;わらう;смеяться
喜ぶ;よろこぶ;радоваться
悲しむ;かなしむ;горевать
尊敬;そんけい;уважение
信頼;しんらい;доверие
友情;ゆうじょう;дружба
恋愛;れんあい;любовь, романтика
