# Природа и погода;;
* Kanji;Kana;Meaning

天気;てんき;погода
気温;きおん;температура воздуха
湿度;しつど;влажность
晴れ;はれ;ясная погода
曇り;くもり;облачно
雨;あめ;дождь
雪;ゆき;снег
雷;かみなり;гром
台風;たいふう;тайфун
地震;じしん;землетрясение
津波;つなみ;цунами
洪水;こうずい;наводнение
災害;さいがい;стихийное бедствие
梅雨;つゆ;сезон дождей
季節;きせつ;сезон, время года
春;はる;весна
夏;なつ;лето
秋;あき;осень
冬;ふゆ;зима
自然;しぜん;природа
環境;かんきょう;окружающая среда
動物;どうぶつ;животное
植物;しょくぶつ;растение
森;もり;лес
林;はやし;роща
海;うみ;море
川;かわ;река
湖;みずうみ;озеро
山;やま;гора
空;そら;небо
星;ほし;звезда
月;つき;луна
