# Время и расписание;;
* Kanji;Kana;Meaning

時間;じかん;время
時刻;じこく;конкретный момент времени
曜日;ようび;день недели
週末;しゅうまつ;выходные
平日;へいじつ;будни
祝日;しゅくじつ;праздничный день
休日;きゅうじつ;выходной
最近;さいきん;недавно
今後;こんご;впредь, на будущее
以前;いぜん;ранее, прежде
以後;いご;после, впредь
当時;とうじ;в то время
将来;しょうらい;будущее
過去;かこ;прошлое
現在;げんざい;настоящее
未来;みらい;будущее (далёкое)
予定;よてい;план, расписание
計画;けいかく;план, замысел
締切;しめきり;крайний срок
延期;えんき;отсрочка
中止;ちゅうし;отмена
変更;へんこう;изменение
間に合う;まにあう;успевать
遅れる;おくれる;опаздывать
早める;はやめる;ускорять, приближать
急ぐ;いそぐ;спешить
瞬間;しゅんかん;момент, мгновение
一瞬;いっしゅん;мгновение
間隔;かんかく;интервал
頻繁;ひんぱん;часто
