# Деловое общение;;
* Kanji;Kana;Meaning

挨拶;あいさつ;приветствие
敬語;けいご;уважительный язык
丁寧;ていねい;вежливый
失礼;しつれい;невежливость, простите
お礼;おれい;благодарность
お詫び;おわび;извинение
謝る;あやまる;извиняться
お辞儀;おじぎ;поклон
約束;やくそく;обещание, договорённость
信用;しんよう;доверие
責任;せきにん;ответственность
立場;たちば;позиция, точка зрения
意見;いけん;мнение
賛成;さんせい;согласие
反対;はんたい;несогласие
協力;きょうりょく;сотрудничество
依頼;いらい;просьба, заказ
お願い;おねがい;пожалуйста, просьба
お世話;おせわ;забота, поддержка
ご迷惑;ごめいわく;беспокойство, неудобство
配慮;はいりょ;внимательность, чуткость
気遣い;きづかい;забота о другом
謙虚;けんきょ;скромность
誠意;せいい;искренность
交渉;こうしょう;переговоры
契約;けいやく;договор, контракт
取引;とりひき;сделка
商談;しょうだん;деловые переговоры
名乗る;なのる;представиться
呼ぶ;よぶ;звать, обращаться
断る;ことわる;отказывать
受ける;うける;принимать
確かめる;たしかめる;удостовериться
