# Медиа и технологии;;
* Kanji;Kana;Meaning

情報;じょうほう;информация
通信;つうしん;коммуникация, связь
放送;ほうそう;телерадиовещание
番組;ばんぐみ;телепередача
広告;こうこく;реклама
宣伝;せんでん;пропаганда, продвижение
記事;きじ;статья
新聞;しんぶん;газета
雑誌;ざっし;журнал
出版;しゅっぱん;издание, публикация
印刷;いんさつ;печать
画面;がめん;экран
画像;がぞう;изображение
映像;えいぞう;видеоизображение
動画;どうが;видео
音声;おんせい;звук, голос
録画;ろくが;видеозапись
録音;ろくおん;аудиозапись
配信;はいしん;стриминг, доставка контента
接続;せつぞく;соединение
通信料;つうしんりょう;плата за связь
電源;でんげん;питание, источник тока
充電;じゅうでん;зарядка
電池;でんち;батарейка, аккумулятор
画素;がそ;пиксель
操作;そうさ;управление, операция
設定;せってい;настройка
保存;ほぞん;сохранение
削除;さくじょ;удаление
検索;けんさく;поиск
登録;とうろく;регистрация
更新;こうしん;обновление
迷惑メール;めいわくめーる;спам
